지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
통영,2021-01-01,7.1,33.5,31.8,128.9,5.6,1.6,19.3,0
통영,2021-02-01,8.6,33.7,34.2,138.6,5.6,2.0,70.3,0
통영,2021-03-01,11.1,33.7,28.4,122.6,5.5,2.0,157.8,0
통영,2021-04-01,14.3,33.7,26.0,127.3,5.7,2.3,103.1,0
통영,2021-05-01,16.9,33.7,27.8,97.6,5.2,2.1,163.1,0
통영,2021-06-01,19.7,33.4,21.2,78.5,5.4,1.7,182.3,0
통영,2021-07-01,23.7,32.0,31.3,104.5,5.9,2.2,404.5,0
통영,2021-08-01,26.8,31.1,30.0,120.2,6.1,2.1,477.0,0
통영,2021-09-01,24.6,30.3,25.3,136.3,5.7,2.6,145.5,0
통영,2021-10-01,22.1,31.4,28.1,98.8,5.6,1.6,5.9,0
통영,2021-11-01,17.2,32.5,33.7,102.2,5.0,1.6,67.1,0
통영,2021-12-01,11.8,33.1,33.6,119.0,5.4,1.2,4.2,0
