지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
강원,2015-01-01,8.7,33.8,11.7,187.7,6.8,1.3,8.7,3.0
강원,2015-02-01,4.9,34.0,10.7,187.3,6.8,1.5,32.1,8.7
강원,2015-03-01,5.8,34.0,9.3,149.6,6.1,1.5,8.0,0.0
강원,2015-04-01,7.8,33.8,13.2,112.5,5.4,1.7,74.2,0.0
강원,2015-05-01,12.1,33.6,12.8,76.6,4.5,1.6,9.2,0.0
강원,2015-06-01,17.7,33.3,12.6,91.5,5.3,1.4,127.7,0.0
강원,2015-07-01,20.5,31.1,16.6,91.0,5.1,1.3,163.1,0.0
강원,2015-08-01,25.0,30.4,22.5,95.5,5.5,1.5,198.6,0.0
강원,2015-09-01,21.4,31.7,18.1,117.3,5.8,1.4,13.5,0.0
강원,2015-10-01,20.5,31.9,27.9,117.1,5.6,1.4,27.4,0.0
강원,2015-11-01,17.8,30.2,18.6,177.2,6.3,1.7,463.5,0.0
강원,2015-12-01,16.5,29.4,43.4,153.9,6.1,1.2,1.7,0.0
