지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
경기,2017-01-01,4.2,31.4,78.4,0.4,4.3,4.0,20.6,8.1
경기,2017-02-01,2.4,32.3,77.2,0.4,4.3,4.1,16.2,1.7
경기,2017-03-01,5.8,31.9,80.9,0.3,3.8,3.3,9.7,0.0
경기,2017-04-01,10.7,31.6,79.1,0.4,3.9,3.5,57.0,0.0
경기,2017-05-01,15.4,30.5,77.1,0.3,3.8,3.2,21.6,0.0
경기,2017-06-01,20.9,31.5,75.3,0.3,3.8,3.4,49.3,0.0
경기,2017-07-01,24.8,29.0,82.1,0.4,4.3,2.8,478.3,0.0
경기,2017-08-01,26.1,28.2,79.1,0.3,4.5,3.2,250.5,0.0
경기,2017-09-01,24.1,29.0,77.7,0.3,3.9,3.5,21.6,0.0
경기,2017-10-01,19.8,30.2,71.7,0.3,3.7,3.8,21.8,0.0
경기,2017-11-01,13.1,29.2,78.2,0.3,4.9,2.3,42.2,1.5
경기,2017-12-01,5.2,31.1,79.5,0.5,4.4,3.9,40.1,4.1
