품목명,날짜,생산,수입,판매
Calamari,2025-01-01,929,929,14298
Calamari,2025-02-01,200,200,11869
Calamari,2025-03-01,135,135,17873
Calamari,2025-04-01,6,6,23194
Calamari,2025-05-01,682,682,25735
Calamari,2025-06-01,3428,3428,28450
Calamari,2025-07-01,1055,1055,30183
