날짜,생산,수입,전기재고,소비,수출,당기재고
2023년 05월,"1,869","1,534","5,937","3,572",758,"5,010"
2023년 06월,"4,778", - ,"5,010", - ,421,"6,520"
2023년 07월,"4,231",611,"6,520","4,911",70,"6,381"
2023년 08월,"6,823", - ,"6,381", - ,172,"6,854"
2023년 09월,"8,093", - ,"6,854", - ,610,"6,174"
2023년 10월,"5,907","1,251","6,174","6,566",239,"6,528"
2023년 11월,"7,544", - ,"6,528", - ,215,"7,940"
2023년 12월,"5,831","1,071","7,940","5,800",98,"8,944"
2024년 01월,"4,103","1,035","8,944","4,003",216,"9,863"
2024년 02월,"2,067","1,014","9,863","2,715",390,"9,839"
2024년 03월,"1,019",867,"9,839","4,424",222,"7,079"
2024년 04월,"2,045","1,102","7,079","3,358",305,"6,563"
2024년 05월,915,"1,178","6,563","4,383",212,"4,061"
2024년 06월,"2,289", - ,"4,061", - ,298,"5,146"
2024년 07월,"3,271", - ,"5,146", - ,202,"5,879"
2024년 08월,"5,148", - ,"5,879", - ,174,"5,672"
2024년 09월,"4,408", - ,"5,672", - ,72,"3,958"
2024년 10월,"6,167",789,"3,958","5,345",90,"5,479"
2024년 11월,"6,615", - ,"5,479", - ,187,"7,701"
2024년 12월,"6,382","1,248","7,701","8,296",337,"6,698"
2025년 01월,971,695,"6,698",394,437,"7,533"
2025년 02월,987, - ,"7,533", - ,86,"6,664"
2025년 03월,"1,140",780,"6,664","2,983",198,"5,403"
2025년 04월,"1,420",758,"5,403","1,980",398,"5,204"
2025년 05월,"1,164",933,"5,204","2,395",80,"4,825"
2025년 06월,"3,481","1,352","4,825","6,586",134,"2,938"
2025년 07월,530, - ,"2,938", - ,257, - 
2025년 08월,93, - , - , - , - , - 
