날짜,생산,수입,전기재고,소비,수출,당기재고
2023년 02월,"2,237","4,323","70,067","3,768","7,767","65,092"
2023년 03월,"10,321","7,704","65,092","5,156","8,084","69,877"
2023년 04월,"7,784","8,016","69,877","8,489","6,054","71,134"
2023년 05월,"1,839","3,952","71,134","12,977","2,075","61,873"
2023년 06월,"4,293","3,327","61,873","2,996","5,305","61,192"
2023년 07월,"11,966","1,479","61,192","8,990","1,397","64,250"
2023년 08월,"8,006","2,796","64,250","7,818","12,364","54,870"
2023년 09월,"13,365",304,"54,870","6,049","5,038","57,452"
2023년 10월,"12,652",166,"57,452","5,985","12,842","51,443"
2023년 11월,"15,704","2,089","51,443","3,314","15,508","50,414"
2023년 12월,"8,589","10,425","50,414","1,484","10,303","57,641"
2024년 01월,"8,485","2,492","57,641","9,040","6,721","52,857"
2024년 02월,"9,062","6,068","52,857","10,392","3,047","54,548"
2024년 03월,"3,603","3,224","54,548","5,522","2,091","53,762"
2024년 04월,"8,596","3,997","53,762","8,714","2,159","55,482"
2024년 05월,"1,523","7,041","55,482","10,461","3,817","49,768"
2024년 06월,"6,331",969,"49,768","14,137","1,414","41,517"
2024년 07월,"11,605","1,437","41,517","7,239","4,225","43,095"
2024년 08월,"12,293","1,628","43,095","13,360","4,841","38,815"
2024년 09월,"20,714","1,755","38,815","11,949","8,153","41,182"
2024년 10월,"18,095","1,426","41,182","10,891","12,184","37,628"
2024년 11월,"18,963","3,157","37,628","2,852","18,515","38,381"
2024년 12월,"5,423","7,035","38,381","2,661","10,186","37,992"
2025년 01월,"20,373","6,063","37,992","9,939","8,975","45,514"
2025년 02월,"6,168","6,630","45,514","3,920","15,218","39,174"
2025년 03월,"9,508","6,732","39,174",-723,"6,716","49,421"
2025년 04월,"7,182","5,889","49,421","12,372","5,715","44,405"
2025년 05월,"1,642","5,001","44,405","8,629","4,741","37,678"
2025년 06월,"9,959","1,949","37,678","2,791","4,049","42,746"
2025년 07월,"5,651","2,874","42,746","-9,287","11,400","49,158"
2025년 08월,356, - ,"49,158", - , - , - 
